Statename,StateID,Count,Site,Year,Survey,Species,ManagementZone,Population
MT,4,2,1,2002,1,SG,Management Zone I,SimData
MT,4,0,1,2003,1,SG,Management Zone I,SimData
MT,4,0,1,2004,1,SG,Management Zone I,SimData
MT,4,0,1,2005,1,SG,Management Zone I,SimData
MT,4,5,1,2007,1,SG,Management Zone I,SimData
MT,4,0,1,2007,2,SG,Management Zone I,SimData
MT,4,0,1,2008,1,SG,Management Zone I,SimData
MT,4,1,1,2011,1,SG,Management Zone I,SimData
MT,4,0,1,2011,2,SG,Management Zone I,SimData
MT,4,8,2,2002,1,SG,Management Zone I,SimData
MT,4,23,2,2002,3,SG,Management Zone I,SimData
MT,4,26,2,2002,4,SG,Management Zone I,SimData
MT,4,11,2,2002,2,SG,Management Zone I,SimData
MT,4,0,2,2003,1,SG,Management Zone I,SimData
MT,4,30,2,2003,2,SG,Management Zone I,SimData
MT,4,19,2,2003,3,SG,Management Zone I,SimData
MT,4,22,2,2003,4,SG,Management Zone I,SimData
MT,4,13,2,2004,2,SG,Management Zone I,SimData
MT,4,0,2,2004,4,SG,Management Zone I,SimData
MT,4,39,2,2004,1,SG,Management Zone I,SimData
MT,4,54,2,2004,3,SG,Management Zone I,SimData
MT,4,33,2,2005,1,SG,Management Zone I,SimData
MT,4,14,2,2006,1,SG,Management Zone I,SimData
MT,4,35,2,2006,2,SG,Management Zone I,SimData
MT,4,29,2,2006,3,SG,Management Zone I,SimData
MT,4,36,2,2006,4,SG,Management Zone I,SimData
MT,4,1,2,2007,1,SG,Management Zone I,SimData
MT,4,25,2,2007,2,SG,Management Zone I,SimData
MT,4,16,2,2007,3,SG,Management Zone I,SimData
MT,4,8,2,2007,4,SG,Management Zone I,SimData
MT,4,13,2,2007,5,SG,Management Zone I,SimData
MT,4,21,2,2008,1,SG,Management Zone I,SimData
MT,4,14,2,2008,2,SG,Management Zone I,SimData
MT,4,21,2,2008,3,SG,Management Zone I,SimData
MT,4,25,2,2009,1,SG,Management Zone I,SimData
MT,4,0,2,2009,2,SG,Management Zone I,SimData
MT,4,7,2,2011,1,SG,Management Zone I,SimData
MT,4,20,2,2011,2,SG,Management Zone I,SimData
MT,4,4,2,2011,3,SG,Management Zone I,SimData
MT,4,1,2,2012,1,SG,Management Zone I,SimData
MT,4,18,2,2012,2,SG,Management Zone I,SimData
MT,4,0,2,2012,3,SG,Management Zone I,SimData
MT,4,0,2,2014,2,SG,Management Zone I,SimData
MT,4,23,2,2014,4,SG,Management Zone I,SimData
MT,4,10,2,2014,1,SG,Management Zone I,SimData
MT,4,15,2,2014,3,SG,Management Zone I,SimData
MT,4,3,3,2002,1,SG,Management Zone I,SimData
MT,4,41,3,2002,3,SG,Management Zone I,SimData
MT,4,27,3,2002,4,SG,Management Zone I,SimData
MT,4,33,3,2002,2,SG,Management Zone I,SimData
MT,4,0,3,2003,4,SG,Management Zone I,SimData
MT,4,19,3,2003,1,SG,Management Zone I,SimData
MT,4,25,3,2003,2,SG,Management Zone I,SimData
MT,4,21,3,2003,3,SG,Management Zone I,SimData
MT,4,33,3,2004,2,SG,Management Zone I,SimData
MT,4,12,3,2004,1,SG,Management Zone I,SimData
MT,4,29,3,2004,3,SG,Management Zone I,SimData
MT,4,31,3,2004,4,SG,Management Zone I,SimData
MT,4,11,3,2005,1,SG,Management Zone I,SimData
MT,4,6,3,2006,3,SG,Management Zone I,SimData
MT,4,4,3,2006,1,SG,Management Zone I,SimData
MT,4,5,3,2006,2,SG,Management Zone I,SimData
MT,4,24,3,2006,4,SG,Management Zone I,SimData
MT,4,16,3,2007,1,SG,Management Zone I,SimData
MT,4,16,3,2007,2,SG,Management Zone I,SimData
MT,4,2,3,2007,3,SG,Management Zone I,SimData
MT,4,19,3,2007,4,SG,Management Zone I,SimData
MT,4,22,3,2007,5,SG,Management Zone I,SimData
MT,4,13,3,2008,1,SG,Management Zone I,SimData
MT,4,0,3,2008,2,SG,Management Zone I,SimData
MT,4,13,3,2008,3,SG,Management Zone I,SimData
MT,4,8,3,2009,1,SG,Management Zone I,SimData
MT,4,8,3,2009,2,SG,Management Zone I,SimData
MT,4,3,3,2011,1,SG,Management Zone I,SimData
MT,4,15,3,2011,2,SG,Management Zone I,SimData
MT,4,7,3,2011,3,SG,Management Zone I,SimData
MT,4,0,3,2012,1,SG,Management Zone I,SimData
MT,4,0,3,2012,2,SG,Management Zone I,SimData
MT,4,2,3,2012,3,SG,Management Zone I,SimData
MT,4,4,3,2014,2,SG,Management Zone I,SimData
MT,4,12,3,2014,4,SG,Management Zone I,SimData
MT,4,6,3,2014,1,SG,Management Zone I,SimData
